symbol,type,entry_time,exit_time,entry_price,exit_price,gross_pnl,fees,net_pnl,result,bars_held,position_size,leverage
EDENUSDT,LONG,2025-12-16 18:01:00+00:00,2025-12-16 18:50:00+00:00,0.06926,0.0706452,20.000000000000043,1.2,18.800000000000043,WIN,49,100.0,10
EDENUSDT,LONG,2025-12-16 18:02:00+00:00,2025-12-16 18:48:00+00:00,0.06915,0.070533,19.999999999999932,1.2,18.799999999999933,WIN,46,100.0,10
EDENUSDT,LONG,2025-12-16 18:03:00+00:00,2025-12-16 18:48:00+00:00,0.06912,0.0705024,20.000000000000085,1.2,18.800000000000086,WIN,45,100.0,10
EDENUSDT,LONG,2025-12-16 18:04:00+00:00,2025-12-16 18:51:00+00:00,0.06947,0.0708594,19.999999999999982,1.2,18.799999999999983,WIN,47,100.0,10
EDENUSDT,LONG,2025-12-16 18:05:00+00:00,2025-12-16 18:53:00+00:00,0.06954,0.0709308,19.999999999999968,1.2,18.79999999999997,WIN,48,100.0,10
EDENUSDT,LONG,2025-12-16 18:06:00+00:00,2025-12-16 18:51:00+00:00,0.06944,0.0708288,19.999999999999932,1.2,18.799999999999933,WIN,45,100.0,10
EDENUSDT,LONG,2025-12-16 18:07:00+00:00,2025-12-16 18:52:00+00:00,0.06952,0.0709104,20.0,1.2,18.8,WIN,45,100.0,10
EDENUSDT,LONG,2025-12-16 18:08:00+00:00,2025-12-16 18:51:00+00:00,0.06943,0.07081860000000001,20.000000000000053,1.2,18.800000000000054,WIN,43,100.0,10
EDENUSDT,LONG,2025-12-16 18:09:00+00:00,2025-12-16 18:52:00+00:00,0.0695,0.07089000000000001,20.000000000000032,1.2,18.800000000000033,WIN,43,100.0,10
EDENUSDT,LONG,2025-12-16 18:10:00+00:00,2025-12-16 18:51:00+00:00,0.06946,0.0708492,20.000000000000107,1.2,18.800000000000107,WIN,41,100.0,10
EDENUSDT,LONG,2025-12-16 18:11:00+00:00,2025-12-16 18:52:00+00:00,0.0695,0.07089000000000001,20.000000000000032,1.2,18.800000000000033,WIN,41,100.0,10
EDENUSDT,LONG,2025-12-16 18:12:00+00:00,2025-12-16 18:50:00+00:00,0.06925,0.070635,19.999999999999957,1.2,18.799999999999958,WIN,38,100.0,10
EDENUSDT,LONG,2025-12-16 18:13:00+00:00,2025-12-16 18:51:00+00:00,0.06932,0.0707064,19.999999999999943,1.2,18.799999999999944,WIN,38,100.0,10
EDENUSDT,LONG,2025-12-16 18:14:00+00:00,2025-12-16 18:51:00+00:00,0.06937,0.0707574,19.999999999999957,1.2,18.799999999999958,WIN,37,100.0,10
EDENUSDT,LONG,2025-12-16 18:15:00+00:00,2025-12-16 18:51:00+00:00,0.06944,0.0708288,19.999999999999932,1.2,18.799999999999933,WIN,36,100.0,10
EDENUSDT,LONG,2025-12-16 18:16:00+00:00,2025-12-16 18:53:00+00:00,0.06954,0.0709308,19.999999999999968,1.2,18.79999999999997,WIN,37,100.0,10
EDENUSDT,LONG,2025-12-16 18:17:00+00:00,2025-12-16 18:52:00+00:00,0.0695,0.07089000000000001,20.000000000000032,1.2,18.800000000000033,WIN,35,100.0,10
EDENUSDT,LONG,2025-12-16 18:18:00+00:00,2025-12-16 18:51:00+00:00,0.06932,0.0707064,19.999999999999943,1.2,18.799999999999944,WIN,33,100.0,10
